# patch: 26.14 | atualizado: 2026-07-26 | fonte: mobatrainer.com
champion,role,tier,winrate,pickrate,banrate
Poppy,JUNGLE,C,50.9,0.8,4.9
Dr. Mundo,JUNGLE,C,50.9,0.7,3.6
Karthus,JUNGLE,C,50.8,1.2,0.9
Lee Sin,JUNGLE,C,50.7,13.7,14.9
Skarner,JUNGLE,C,50.5,1.1,0.2
Ambessa,JUNGLE,C,50.3,1.4,5.2
Rengar,JUNGLE,C,50.3,3.8,6.6
Teemo,JUNGLE,D,50.4,0.5,7.1
Pantheon,JUNGLE,D,50,1,2
Malphite,JUNGLE,D,49.4,0.8,16.7
Zed,JUNGLE,D,49,2.1,19.2
Jayce,JUNGLE,D,48.4,1.9,6
Qiyana,JUNGLE,D,48.1,3.2,2
Locke,JUNGLE,D,46.8,2.5,73.7
Locke,MID,S,53.9,7.8,73.7
Xerath,MID,S,53.3,4.3,16.5
Riven,MID,S,53.9,1.2,3.1
Gwen,MID,S,53.7,0.6,2.4
Fizz,MID,S,53.4,5.3,6.1
Vex,MID,S,53.4,2.7,3.1
Vladimir,MID,S,53,4.1,5.9
Naafiri,MID,S,53,2.1,28.1
Garen,MID,A,53.4,0.5,5.9
Diana,MID,A,53,4,4.3
Pantheon,MID,A,52.9,0.9,2
Twisted Fate,MID,A,52.8,5,0.8
Veigar,MID,A,52.8,3.3,1.1
Ahri,MID,A,52.7,9.2,2.9
Hwei,MID,A,52.6,4.2,2.5
Malzahar,MID,A,52.6,5.8,9.6
Katarina,MID,A,52.4,6.9,9.3
Viktor,MID,A,52.2,8.8,8.4
Sylas,MID,A,51.9,9.2,18.8
Zed,MID,A,51.9,7.3,19.2
Swain,MID,B,52.7,0.8,2
Annie,MID,B,52.6,2,0.6
Lissandra,MID,B,52.4,4.7,2.8
Talon,MID,B,52.4,2.1,6.2
Lux,MID,B,52.4,3.9,3.6
Ekko,MID,B,52.3,3,1.3
Syndra,MID,B,52.3,8.1,6.4
Gangplank,MID,B,52.2,0.5,6.7
Brand,MID,B,52.1,0.7,5.1
Vel'Koz,MID,B,52.1,1,2.2
Kassadin,MID,B,52,3.1,2.2
Aurelion Sol,MID,B,52,1.4,0.5
Zoe,MID,B,52,2.5,3.3
Malphite,MID,B,51.9,0.8,16.7
Akali,MID,B,51.4,5.8,15.5
LeBlanc,MID,B,51.4,3.9,11.5
Cho'Gath,MID,C,51.8,0.6,0.6
Anivia,MID,C,51.8,2.4,2.6
Ziggs,MID,C,51.7,0.8,4.5
Galio,MID,C,51.3,4.8,2
Sion,MID,C,51.3,0.8,0.8
Akshan,MID,C,51.1,2.8,2.2
Irelia,MID,C,51.1,2.6,11.7
Qiyana,MID,C,50.9,2.1,2
Aurora,MID,C,50.9,2.3,1.4
Yone,MID,C,50.4,6.3,6.2
Yasuo,MID,C,50.2,8.3,16.2
Cassiopeia,MID,C,50.1,1.6,1.5
Taliyah,MID,C,50.1,1.4,0.3
Jayce,MID,C,49.4,0.9,6
Tristana,MID,D,49,0.8,2.5
Ryze,MID,D,48.9,2.9,0.5
Azir,MID,D,48.3,1.8,0.3
Orianna,MID,D,48.2,3.1,0.5
Smolder,MID,D,47.3,0.7,3.2
Mel,MID,D,46.8,2.4,33.2
Veigar,ADC,S,55.1,1.6,1.1
Senna,ADC,S,54.4,4.4,11.2
Karthus,ADC,S,54.8,0.7,0.9
Nilah,ADC,S,54.6,1.1,1.9
Brand,ADC,S,54.3,1.3,5.1
Seraphine,ADC,S,53.9,4,14.8
Aurelion Sol,ADC,A,53.8,0.6,0.5
Kog'Maw,ADC,A,53.6,1.7,0.3
Jinx,ADC,A,53.6,9.4,2
Lux,ADC,A,53.6,1.5,3.6
Vel'Koz,ADC,A,53.5,1.2,2.2
Swain,ADC,A,53.4,1.5,2
Xayah,ADC,A,53.3,3.4,0.5
Smolder,ADC,A,53.3,4.5,3.2
Tristana,ADC,A,53.2,6.5,2.5
Hwei,ADC,B,53.2,2,2.5
Twitch,ADC,B,52.9,4.5,5.1
Ziggs,ADC,B,52.9,6.9,4.5
Viktor,ADC,B,52.7,2.9,8.4
Katarina,ADC,B,52.7,0.7,9.3
Ashe,ADC,B,52.7,7.4,2.8
Zeri,ADC,B,52.6,3.1,0.4
Vayne,ADC,B,52.5,4.7,11.5
Xerath,ADC,B,52.4,4.2,16.5
Yasuo,ADC,B,52.3,1.4,16.2
Samira,ADC,B,52,4.2,5.7
Miss Fortune,ADC,B,52,10,0.9
Caitlyn,ADC,B,51.1,14.8,19
Cassiopeia,ADC,C,52.1,0.6,1.5
Sivir,ADC,C,51.9,4.3,1.6
Syndra,ADC,C,51.7,3.2,6.4
Draven,ADC,C,51.6,3.5,10.8
Lucian,ADC,C,51.5,7.8,1.7
Aphelios,ADC,C,51.4,4.2,1.4
Jhin,ADC,C,51.4,14,1.2
Vladimir,ADC,C,51.4,0.9,5.9
Kalista,ADC,C,51.1,1.6,0.3
Corki,ADC,C,51.1,1.7,0.3
Yunara,ADC,C,50.8,7.4,1.1
Kai'Sa,ADC,D,50.6,12.4,1.4
Ezreal,ADC,D,48.9,14.2,5.1
Varus,ADC,D,48.3,2.2,1.2
Taliyah,ADC,D,48.2,0.7,0.3
Mel,ADC,D,47.4,5.2,33.2
Poppy,SUP,S,54,2.9,4.9
Thresh,SUP,S,53.5,12.3,7.5
Taric,SUP,S,53.9,1.2,0.2
Leona,SUP,S,53.6,7.4,6.9
Rell,SUP,S,53.6,3.8,1.1
Braum,SUP,S,53.1,3.9,4.7
Senna,SUP,S,53,7.1,11.2
Amumu,SUP,A,53.3,0.5,1
Galio,SUP,A,53.3,1.1,2
Zilean,SUP,A,53.3,3,1.4
Sona,SUP,A,52.9,3.5,0.3
Tahm Kench,SUP,A,52.8,2.5,2.4
Blitzcrank,SUP,A,52.5,5.5,11.1
Soraka,SUP,A,52.5,4.5,1.9
Seraphine,SUP,A,52.3,10.8,14.8
Morgana,SUP,A,52.2,4.1,15.3
Nautilus,SUP,A,52,10.1,13.1
Maokai,SUP,B,52.7,1.5,0.2
Janna,SUP,B,52.5,3.5,0.7
Fiddlesticks,SUP,B,52.3,0.5,1
Milio,SUP,B,52.2,5.6,3.7
Rakan,SUP,B,52.1,3.2,0.3
Nami,SUP,B,52.1,8.7,1.1
Vel'Koz,SUP,B,52,3.3,2.2
Elise,SUP,B,51.9,0.8,1
Renata Glasc,SUP,B,51.8,0.9,0.1
Alistar,SUP,B,51.6,3.9,1.5
Zyra,SUP,B,51.6,2.4,2.1
Pyke,SUP,B,51.5,7.5,24.6
Lulu,SUP,B,51.3,8,6.7
Xerath,SUP,B,51.3,2.9,16.5
Pantheon,SUP,C,51.4,4,2
Hwei,SUP,C,51.3,0.6,2.5
Shen,SUP,C,51.3,1.7,0.9
Brand,SUP,C,51.1,2.5,5.1
Bard,SUP,C,51,6.1,2.8
Lux,SUP,C,51,6.5,3.6
Karma,SUP,C,50.9,6.8,3.3
LeBlanc,SUP,C,50.9,0.8,11.5
Shaco,SUP,C,50.8,1.4,16.8
Jarvan IV,SUP,C,50.4,0.6,1.2
Sylas,SUP,C,50.3,1.6,18.8
Camille,SUP,C,50.2,8,9.3
Swain,SUP,C,49.9,2.7,2
Neeko,SUP,D,50,1.6,0.6
Yuumi,SUP,D,49.6,4.6,5.7
Zoe,SUP,D,49,0.8,3.3
Ashe,SUP,D,46,0.7,2.8
Mel,SUP,D,44,1.8,33.2
