
AdaoJr@DESKTOP-SE8MSQK MINGW64 ~/Projetos Pessoais/Time-Perfeito-LOL-Bugadao (main)
$ node local/scrape/gen-targets.mjs
versão DDragon: 16.14.1
alvos: 273 | tiers: S,A,B,C,D
OK   Vayne|TOP  wr:54.79 core:2 sit:7 skill:QWE
OK   Gwen|TOP  wr:55.38 core:2 sit:5 skill:QEW
OK   Vladimir|TOP  wr:53.7 core:2 sit:3 skill:QEW
OK   Kennen|TOP  wr:53.89 core:2 sit:3 skill:QWE
OK   Volibear|TOP  wr:54.77 core:2 sit:5 skill:QWE
OK   Sion|TOP  wr:53.6 core:2 sit:4 skill:QWE
OK   Udyr|TOP  wr:46.15 core:2 sit:6 skill:QRW
OK   Trundle|TOP  wr:56.3 core:2 sit:5 skill:QWE
OK   Gnar|TOP  wr:54.2 core:2 sit:6 skill:QWE
OK   Ambessa|TOP  wr:53.92 core:2 sit:4 skill:QEW
OK   Malzahar|TOP  wr:55.13 core:2 sit:5 skill:EQW
OK   Master Yi|TOP  wr:61.87 core:3 sit:4 skill:EWQ
OK   Yasuo|TOP  wr:57.32 core:2 sit:6 skill:QEW
OK   Aurora|TOP  wr:57.7 core:2 sit:4 skill:QEW
OK   Ryze|TOP  wr:56.34 core:2 sit:5 skill:QEW
OK   Swain|TOP  wr:58.76 core:2 sit:6 skill:QEW
OK   Rumble|TOP  wr:54.33 core:2 sit:5 skill:QEW
OK   Varus|TOP  wr:52.37 core:2 sit:7 skill:WEQ
OK   Jayce|TOP  wr:52.15 core:2 sit:4 skill:QWE
OK   K'Sante|TOP  wr:52.17 core:2 sit:4 skill:QEW
OK   Warwick|JUNGLE  wr:55.07 core:2 sit:4 skill:WEQ
OK   Nasus|JUNGLE  wr:60.56 core:2 sit:4 skill:QWE
OK   Nocturne|JUNGLE  wr:58.52 core:3 sit:6 skill:QWE
OK   Mordekaiser|JUNGLE  wr:58.89 core:2 sit:6 skill:QEW
OK   Darius|JUNGLE  wr:56.82 core:2 sit:5 skill:QEW
OK   Shyvana|JUNGLE  wr:58.61 core:2 sit:5 skill:QWE
OK   Briar|JUNGLE  wr:57.7 core:3 sit:5 skill:WQE
OK   Udyr|JUNGLE  wr:55.66 core:2 sit:4 skill:QEW
OK   Naafiri|JUNGLE  wr:57.77 core:3 sit:4 skill:QEW
OK   Rammus|JUNGLE  wr:59.8 core:2 sit:4 skill:EWQ
OK   Zyra|JUNGLE  wr:56.09 core:2 sit:3 skill:QEW
OK   Bel'Veth|JUNGLE  wr:57.25 core:2 sit:6 skill:EQW
OK   Ivern|JUNGLE  wr:58.55 core:2 sit:6 skill:EQW
OK   Wukong|JUNGLE  wr:59.36 core:3 sit:4 skill:QEW
OK   Aatrox|JUNGLE  wr:62.01 core:3 sit:4 skill:QEW
OK   Trundle|JUNGLE  wr:60.98 core:2 sit:5 skill:QWE
OK   Kayn|JUNGLE  wr:55.64 core:2 sit:5 skill:WQE
OK   Lillia|JUNGLE  wr:56.03 core:2 sit:3 skill:QWE
OK   Shaco|JUNGLE  wr:56.98 core:2 sit:7 skill:WEQ
OK   Master Yi|JUNGLE  wr:58.84 core:2 sit:5 skill:EQW
OK   Jax|JUNGLE  wr:55.86 core:2 sit:5 skill:WEQ
OK   Sylas|JUNGLE  wr:54.37 core:2 sit:3 skill:QWE
OK   Rek'Sai|JUNGLE  wr:55.73 core:2 sit:5 skill:EQW
OK   Evelynn|JUNGLE  wr:— core:2 sit:5 skill:QEW
OK   Taliyah|JUNGLE  wr:55.85 core:2 sit:3 skill:QEW
OK   Volibear|JUNGLE  wr:63.24 core:3 sit:5 skill:QWE
OK   Quinn|JUNGLE  wr:57.73 core:2 sit:5 skill:WQE
OK   Kindred|JUNGLE  wr:57.32 core:2 sit:4 skill:QWE
OK   Nunu & Willump|JUNGLE  wr:53.48 core:2 sit:6 skill:QEW
OK   Talon|JUNGLE  wr:56.15 core:2 sit:6 skill:WQE
OK   Elise|JUNGLE  wr:55.48 core:2 sit:4 skill:QWE
OK   Nidalee|JUNGLE  wr:53.15 core:2 sit:4 skill:QEW
OK   Fiddlesticks|JUNGLE  wr:56.06 core:2 sit:5 skill:WQE
OK   Sejuani|JUNGLE  wr:56.07 core:2 sit:4 skill:WQE
OK   Ekko|JUNGLE  wr:52.96 core:2 sit:4 skill:QEW
OK   Viego|JUNGLE  wr:57.3 core:3 sit:3 skill:QEW
OK   Kha'Zix|JUNGLE  wr:55.2 core:3 sit:4 skill:QEW
OK   Graves|JUNGLE  wr:58.9 core:3 sit:4 skill:QEW
OK   Xin Zhao|JUNGLE  wr:56.03 core:2 sit:5 skill:WQE
OK   Jarvan IV|JUNGLE  wr:53.48 core:2 sit:3 skill:QEW
OK   Gwen|JUNGLE  wr:66.67 core:3 sit:5 skill:QEW
OK   Amumu|JUNGLE  wr:57.75 core:2 sit:4 skill:EQW
OK   Zac|JUNGLE  wr:56.04 core:2 sit:5 skill:EWQ
OK   Vi|JUNGLE  wr:56.09 core:2 sit:5 skill:QWE
OK   Fizz|JUNGLE  wr:54.53 core:2 sit:4 skill:WEQ
OK   Hecarim|JUNGLE  wr:54.6 core:2 sit:4 skill:QWE
OK   Gragas|JUNGLE  wr:54.67 core:2 sit:6 skill:QWE
OK   Diana|JUNGLE  wr:52.31 core:2 sit:4 skill:QWE
OK   Olaf|JUNGLE  wr:56.03 core:2 sit:7 skill:QEW
OK   Poppy|JUNGLE  wr:53.24 core:2 sit:4 skill:QEW
OK   Dr. Mundo|JUNGLE  wr:56.83 core:2 sit:5 skill:EQW
OK   Karthus|JUNGLE  wr:54.32 core:3 sit:3 skill:QEW
OK   Lee Sin|JUNGLE  wr:53.21 core:2 sit:3 skill:QWE
OK   Skarner|JUNGLE  wr:55.97 core:2 sit:4 skill:QWE
OK   Ambessa|JUNGLE  wr:59.35 core:3 sit:5 skill:QEW
OK   Rengar|JUNGLE  wr:55.61 core:3 sit:4 skill:QEW
OK   Teemo|JUNGLE  wr:55.3 core:2 sit:5 skill:EWQ
OK   Pantheon|JUNGLE  wr:53.18 core:2 sit:4 skill:QEW
OK   Malphite|JUNGLE  wr:55.25 core:2 sit:5 skill:WQE
OK   Zed|JUNGLE  wr:53.94 core:2 sit:6 skill:QEW
OK   Jayce|JUNGLE  wr:52.63 core:2 sit:4 skill:QWE
OK   Qiyana|JUNGLE  wr:50.09 core:2 sit:5 skill:QWE
OK   Locke|JUNGLE  wr:72.03 core:2 sit:4 skill:QWE
OK   Locke|MID  wr:78.04 core:2 sit:4 skill:QWE
OK   Xerath|MID  wr:74.44 core:2 sit:4 skill:QWE
OK   Riven|MID  wr:59.97 core:2 sit:5 skill:QWE
OK   Gwen|MID  wr:59.62 core:2 sit:5 skill:QEW
OK   Fizz|MID  wr:74.63 core:2 sit:4 skill:EWQ
OK   Vex|MID  wr:55.34 core:2 sit:5 skill:QWE
OK   Vladimir|MID  wr:59.19 core:2 sit:5 skill:QEW
OK   Naafiri|MID  wr:56.22 core:2 sit:4 skill:QEW
OK   Garen|MID  wr:59.96 core:2 sit:6 skill:EQW
OK   Diana|MID  wr:57.32 core:2 sit:4 skill:QWE
OK   Pantheon|MID  wr:58.55 core:2 sit:4 skill:QEW
OK   Twisted Fate|MID  wr:57.12 core:2 sit:6 skill:QWE
OK   Veigar|MID  wr:56.29 core:2 sit:4 skill:QWE
OK   Ahri|MID  wr:57.78 core:2 sit:4 skill:QWE
OK   Hwei|MID  wr:55.59 core:2 sit:5 skill:QEW
OK   Malzahar|MID  wr:55.29 core:2 sit:4 skill:EQW
OK   Katarina|MID  wr:80.25 core:2 sit:5 skill:EQW
OK   Viktor|MID  wr:56.71 core:2 sit:5 skill:EQW
OK   Sylas|MID  wr:53.72 core:2 sit:3 skill:QEW
OK   Zed|MID  wr:57.95 core:2 sit:6 skill:QEW
OK   Swain|MID  wr:58.2 core:2 sit:5 skill:QWE
OK   Annie|MID  wr:57.95 core:2 sit:4 skill:WQE
OK   Lissandra|MID  wr:55.16 core:2 sit:5 skill:QWE
OK   Talon|MID  wr:57.57 core:2 sit:6 skill:WQE
OK   Lux|MID  wr:54.46 core:2 sit:3 skill:EQW
OK   Ekko|MID  wr:54.4 core:2 sit:3 skill:QEW
OK   Syndra|MID  wr:55.1 core:2 sit:5 skill:QWE
OK   Gangplank|MID  wr:57.07 core:2 sit:5 skill:QEW
OK   Brand|MID  wr:57.68 core:2 sit:6 skill:EWQ
OK   Vel'Koz|MID  wr:55.28 core:2 sit:5 skill:WQE
OK   Kassadin|MID  wr:56.02 core:2 sit:5 skill:QEW
OK   Aurelion Sol|MID  wr:56.62 core:2 sit:6 skill:QWE
OK   Zoe|MID  wr:54.8 core:2 sit:4 skill:QEW
OK   Malphite|MID  wr:57.3 core:2 sit:4 skill:WEQ
OK   Akali|MID  wr:52.87 core:2 sit:3 skill:QEW
OK   LeBlanc|MID  wr:74.16 core:2 sit:5 skill:WQE
OK   Cho'Gath|MID  wr:55.65 core:2 sit:4 skill:EWQ
OK   Anivia|MID  wr:54.29 core:2 sit:6 skill:EQW
OK   Ziggs|MID  wr:56.29 core:2 sit:6 skill:QEW
OK   Galio|MID  wr:55.25 core:2 sit:4 skill:QWE
OK   Sion|MID  wr:58.33 core:2 sit:4 skill:WQE
OK   Akshan|MID  wr:55.92 core:2 sit:4 skill:QEW
OK   Irelia|MID  wr:59.28 core:2 sit:4 skill:QWE
OK   Qiyana|MID  wr:59.14 core:2 sit:5 skill:QWE
OK   Aurora|MID  wr:54.16 core:2 sit:4 skill:QEW
OK   Yone|MID  wr:56.95 core:2 sit:6 skill:QEW
OK   Yasuo|MID  wr:54.3 core:2 sit:4 skill:QEW
OK   Cassiopeia|MID  wr:53.8 core:2 sit:4 skill:EQW
OK   Taliyah|MID  wr:54.64 core:2 sit:3 skill:QEW
OK   Jayce|MID  wr:54.91 core:2 sit:6 skill:QWE
OK   Tristana|MID  wr:56.34 core:2 sit:5 skill:EQW
OK   Ryze|MID  wr:54.16 core:2 sit:4 skill:QEW
OK   Azir|MID  wr:57.44 core:2 sit:4 skill:WQE
OK   Orianna|MID  wr:51.01 core:2 sit:4 skill:QWE
OK   Smolder|MID  wr:56.31 core:2 sit:3 skill:QWE
OK   Mel|MID  wr:49.83 core:2 sit:4 skill:QEW
OK   Veigar|ADC  wr:56.92 core:2 sit:5 skill:QWE
OK   Senna|ADC  wr:57.18 core:2 sit:7 skill:QWE
OK   Karthus|ADC  wr:58.73 core:2 sit:5 skill:QEW
OK   Nilah|ADC  wr:65.01 core:2 sit:6 skill:EQW
OK   Brand|ADC  wr:56.23 core:2 sit:4 skill:EWQ
OK   Seraphine|ADC  wr:56.86 core:2 sit:5 skill:QEW
OK   Aurelion Sol|ADC  wr:58.48 core:2 sit:5 skill:QWE
OK   Kog'Maw|ADC  wr:57.66 core:2 sit:6 skill:WEQ
OK   Jinx|ADC  wr:58.49 core:2 sit:6 skill:QWE
OK   Lux|ADC  wr:56.06 core:2 sit:3 skill:EQW
OK   Vel'Koz|ADC  wr:55.77 core:2 sit:4 skill:WQE
OK   Swain|ADC  wr:57.94 core:2 sit:5 skill:QWE
OK   Xayah|ADC  wr:61.37 core:2 sit:6 skill:EWQ
OK   Smolder|ADC  wr:56.71 core:2 sit:4 skill:QWE
OK   Tristana|ADC  wr:56.12 core:2 sit:5 skill:EQW
OK   Hwei|ADC  wr:57.18 core:2 sit:4 skill:QEW
OK   Twitch|ADC  wr:58.05 core:2 sit:5 skill:EQW
OK   Ziggs|ADC  wr:55.15 core:2 sit:4 skill:QEW
OK   Viktor|ADC  wr:55.76 core:2 sit:4 skill:EQW
OK   Katarina|ADC  wr:58.2 core:3 sit:5 skill:EQW
OK   Ashe|ADC  wr:58.71 core:2 sit:6 skill:WQE
OK   Zeri|ADC  wr:58.85 core:2 sit:7 skill:QEW
OK   Vayne|ADC  wr:53.74 core:2 sit:4 skill:QWE
OK   Xerath|ADC  wr:55.33 core:2 sit:4 skill:QWE
OK   Yasuo|ADC  wr:54.51 core:2 sit:5 skill:QEW
OK   Samira|ADC  wr:61.19 core:2 sit:5 skill:QEW
OK   Miss Fortune|ADC  wr:57.19 core:3 sit:5 skill:QWE
OK   Caitlyn|ADC  wr:58.25 core:2 sit:6 skill:QWE
OK   Cassiopeia|ADC  wr:58.27 core:2 sit:6 skill:QEW
OK   Sivir|ADC  wr:57.83 core:2 sit:4 skill:QWE
OK   Syndra|ADC  wr:54.46 core:2 sit:5 skill:QWE
OK   Draven|ADC  wr:56.38 core:2 sit:6 skill:QWE
OK   Lucian|ADC  wr:58.14 core:2 sit:7 skill:QWE
OK   Aphelios|ADC  wr:58.97 core:3 sit:5 skill:EQW
OK   Jhin|ADC  wr:54.98 core:2 sit:6 skill:QWE
OK   Vladimir|ADC  wr:66.67 core:2 sit:4 skill:QEW
OK   Kalista|ADC  wr:57.09 core:2 sit:5 skill:EQW
OK   Corki|ADC  wr:56.53 core:2 sit:6 skill:QEW
OK   Yunara|ADC  wr:55.63 core:2 sit:6 skill:QWE
OK   Kai'Sa|ADC  wr:55.14 core:2 sit:6 skill:QEW
OK   Ezreal|ADC  wr:53.85 core:2 sit:4 skill:QEW
OK   Varus|ADC  wr:53.88 core:2 sit:5 skill:WQE
OK   Taliyah|ADC  wr:57.49 core:2 sit:4 skill:QEW
OK   Mel|ADC  wr:48.18 core:2 sit:4 skill:QWE
OK   Poppy|SUP  wr:56.29 core:2 sit:4 skill:EQW
OK   Thresh|SUP  wr:56.48 core:2 sit:5 skill:QWE
OK   Taric|SUP  wr:59.98 core:2 sit:5 skill:EQW
OK   Leona|SUP  wr:56.8 core:2 sit:3 skill:WEQ
OK   Rell|SUP  wr:56.87 core:2 sit:5 skill:WEQ
OK   Braum|SUP  wr:56.18 core:2 sit:4 skill:EQW
OK   Senna|SUP  wr:55.8 core:2 sit:5 skill:QWE
OK   Amumu|SUP  wr:58.89 core:2 sit:5 skill:QEW
OK   Galio|SUP  wr:58.97 core:2 sit:4 skill:WEQ
OK   Zilean|SUP  wr:57.01 core:2 sit:6 skill:EWQ
OK   Sona|SUP  wr:56.63 core:2 sit:6 skill:QWE
OK   Tahm Kench|SUP  wr:58.29 core:2 sit:4 skill:QWE
OK   Blitzcrank|SUP  wr:57.68 core:2 sit:5 skill:QWE
OK   Soraka|SUP  wr:54.05 core:2 sit:4 skill:QWE
OK   Seraphine|SUP  wr:54.37 core:2 sit:5 skill:EWQ
OK   Morgana|SUP  wr:53.38 core:2 sit:4 skill:EQW
OK   Nautilus|SUP  wr:54.12 core:2 sit:4 skill:WEQ
OK   Maokai|SUP  wr:58.01 core:2 sit:5 skill:QEW
OK   Janna|SUP  wr:55.17 core:2 sit:4 skill:EWQ
OK   Fiddlesticks|SUP  wr:57.69 core:2 sit:6 skill:EQW
OK   Milio|SUP  wr:56.54 core:2 sit:5 skill:EWQ
OK   Rakan|SUP  wr:55.07 core:2 sit:5 skill:QWE
OK   Nami|SUP  wr:55.34 core:2 sit:6 skill:WEQ
OK   Vel'Koz|SUP  wr:55.22 core:2 sit:4 skill:QWE
OK   Elise|SUP  wr:58.11 core:2 sit:7 skill:QEW
OK   Renata Glasc|SUP  wr:55.23 core:2 sit:4 skill:WEQ
OK   Alistar|SUP  wr:56.73 core:2 sit:3 skill:WQE
OK   Zyra|SUP  wr:53.42 core:2 sit:5 skill:EWQ
OK   Pyke|SUP  wr:55.25 core:2 sit:5 skill:QEW
OK   Lulu|SUP  wr:54.13 core:2 sit:4 skill:WEQ
OK   Xerath|SUP  wr:52.09 core:2 sit:5 skill:QEW
OK   Pantheon|SUP  wr:55.46 core:2 sit:5 skill:QEW
OK   Hwei|SUP  wr:53.7 core:2 sit:6 skill:QEW
OK   Shen|SUP  wr:57.77 core:2 sit:4 skill:QEW
OK   Brand|SUP  wr:54.17 core:2 sit:5 skill:EWQ
OK   Bard|SUP  wr:53.44 core:2 sit:6 skill:QWE
OK   Lux|SUP  wr:52.16 core:2 sit:5 skill:EQW
OK   Karma|SUP  wr:52.08 core:2 sit:4 skill:EQW
OK   LeBlanc|SUP  wr:55.3 core:2 sit:3 skill:QWE
OK   Shaco|SUP  wr:56.42 core:2 sit:6 skill:EWQ
OK   Jarvan IV|SUP  wr:53.27 core:2 sit:6 skill:QWE
OK   Sylas|SUP  wr:53.43 core:2 sit:4 skill:QEW
OK   Camille|SUP  wr:54.91 core:2 sit:4 skill:EQW
OK   Swain|SUP  wr:54.53 core:2 sit:5 skill:QWE
OK   Neeko|SUP  wr:53.77 core:2 sit:6 skill:QEW
OK   Yuumi|SUP  wr:54.89 core:3 sit:3 skill:EQW
OK   Zoe|SUP  wr:52.12 core:2 sit:6 skill:QWE
OK   Ashe|SUP  wr:49.25 core:2 sit:6 skill:WEQ
OK   Mel|SUP  wr:46.15 core:2 sit:5 skill:QEW

== fim == OK: 273 | FAIL: 0 | total no arquivo: 273

Depois: me mande o src/data/meta-builds.json (ou trecho) pra verificação final.

AdaoJr@DESKTOP-SE8MSQK MINGW64 ~/Projetos Pessoais/Time-Perfeito-LOL-Bugadao (main)
$ 
